"geoid_o","geoid_d","lng_o","lat_o","lng_d","lat_d","date","visitor_flows","pop_flows","date_range"
"Iowa","Alabama","-93.50009011569544","42.07464832674591","-86.8445209956579","32.75687994183124","2021-04-06","197","2741.0",""
"Iowa","Alaska","-93.50009011569544","42.07464832674591","-151.59342192189865","63.74298901509072","2021-04-06","15","208.0",""
"Iowa","Arizona","-93.50009011569544","42.07464832674591","-111.6644603390921","34.29309519459149","2021-04-06","741","10311.0",""
"Iowa","Arkansas","-93.50009011569544","42.07464832674591","-92.43923686174864","34.8997724175194","2021-04-06","205","2852.0",""
"Iowa","California","-93.50009011569544","42.07464832674591","-119.6638458867405","37.21530826027419","2021-04-06","338","4703.0",""
"Iowa","Colorado","-93.50009011569544","42.07464832674591","-105.5478211203382","38.99853159698931","2021-04-06","462","6428.0",""
"Iowa","Connecticut","-93.50009011569544","42.07464832674591","-72.73825767764087","41.57516414989576","2021-04-06","26","361.0",""
"Iowa","Delaware","-93.50009011569544","42.07464832674591","-75.45249262811352","38.99497528640457","2021-04-06","15","208.0",""
"Iowa","District of Columbia","-93.50009011569544","42.07464832674591","-77.0162909035438","38.90477388790585","2021-04-06","8","111.0",""
"Iowa","Florida","-93.50009011569544","42.07464832674591","-82.46641838867941","28.477058414990196","2021-04-06","1736","24156.0",""
"Iowa","Georgia","-93.50009011569544","42.07464832674591","-83.42714021377525","32.63861711465618","2021-04-06","267","3715.0",""
"Iowa","Hawaii","-93.50009011569544","42.07464832674591","-158.1099738068461","20.99511119900836","2021-04-06","79","1099.0",""
"Iowa","Idaho","-93.50009011569544","42.07464832674591","-114.6594139607683","44.389055086057056","2021-04-06","39","542.0",""
"Iowa","Illinois","-93.50009011569544","42.07464832674591","-89.14863899339443","40.12420082696936","2021-04-06","5299","73736.0",""
"Iowa","Indiana","-93.50009011569544","42.07464832674591","-86.28183838774677","39.919869617318085","2021-04-06","365","5079.0",""
"Iowa","Iowa","-93.50009011569544","42.07464832674591","-93.50009011569544","42.07464832674591","2021-04-06","489706","6814341.0",""
"Iowa","Kansas","-93.50009011569544","42.07464832674591","-98.38015540415404","38.484727072453566","2021-04-06","434","6039.0",""
"Iowa","Kentucky","-93.50009011569544","42.07464832674591","-85.29055223275348","37.5266141736611","2021-04-06","190","2643.0",""
"Iowa","Louisiana","-93.50009011569544","42.07464832674591","-91.81423318426776","30.909072897746587","2021-04-06","102","1419.0",""
"Iowa","Maine","-93.50009011569544","42.07464832674591","-69.20275986278288","45.27432853102379","2021-04-06","13","180.0",""
"Iowa","Maryland","-93.50009011569544","42.07464832674591","-76.68717734070172","38.94649396258224","2021-04-06","56","779.0",""
"Iowa","Massachusetts","-93.50009011569544","42.07464832674591","-71.503972041848","42.16009326868467","2021-04-06","15","208.0",""
"Iowa","Michigan","-93.50009011569544","42.07464832674591","-85.73095291151436","44.874773603554175","2021-04-06","190","2643.0",""
"Iowa","Minnesota","-93.50009011569544","42.07464832674591","-94.19830560457336","46.3491103788664","2021-04-06","2475","34440.0",""
"Iowa","Mississippi","-93.50009011569544","42.07464832674591","-89.6533594096457","32.712892273261986","2021-04-06","105","1461.0",""
"Iowa","Missouri","-93.50009011569544","42.07464832674591","-92.4774251950813","38.3676304410753","2021-04-06","2205","30682.0",""
"Iowa","Montana","-93.50009011569544","42.07464832674591","-109.6452069879664","47.03342111039991","2021-04-06","39","542.0",""
"Iowa","Nebraska","-93.50009011569544","42.07464832674591","-99.81085586033896","41.5271511252317","2021-04-06","6662","92702.0",""
"Iowa","Nevada","-93.50009011569544","42.07464832674591","-116.65524866805762","39.35618587303088","2021-04-06","227","3158.0",""
"Iowa","New Hampshire","-93.50009011569544","42.07464832674591","-71.57124316745634","43.6802370603039","2021-04-06","3","41.0",""
"Iowa","New Jersey","-93.50009011569544","42.07464832674591","-74.65561230865505","40.11017985292258","2021-04-06","48","667.0",""
"Iowa","New Mexico","-93.50009011569544","42.07464832674591","-106.1084438818861","34.42130099474041","2021-04-06","73","1015.0",""
"Iowa","New York","-93.50009011569544","42.07464832674591","-75.59654322164518","42.92123354806042","2021-04-06","89","1238.0",""
"Iowa","North Carolina","-93.50009011569544","42.07464832674591","-79.13090891837648","35.52603039243236","2021-04-06","270","3757.0",""
"Iowa","North Dakota","-93.50009011569544","42.07464832674591","-100.4693907950372","47.44631042175392","2021-04-06","119","1655.0",""
"Iowa","Ohio","-93.50009011569544","42.07464832674591","-82.70937700691621","40.415486910016135","2021-04-06","267","3715.0",""
"Iowa","Oklahoma","-93.50009011569544","42.07464832674591","-97.50822793037422","35.583464652524235","2021-04-06","476","6623.0",""
"Iowa","Oregon","-93.50009011569544","42.07464832674591","-120.605256310199","43.94045138675371","2021-04-06","72","1001.0",""
"Iowa","Pennsylvania","-93.50009011569544","42.07464832674591","-77.83893800628347","40.896700506452106","2021-04-06","100","1391.0",""
"Iowa","Rhode Island","-93.50009011569544","42.07464832674591","-71.52472355562169","41.59463889844585","2021-04-06","6","83.0",""
"Iowa","South Carolina","-93.50009011569544","42.07464832674591","-80.86459715523999","33.87785606967731","2021-04-06","190","2643.0",""
"Iowa","South Dakota","-93.50009011569544","42.07464832674591","-100.23046550270404","44.43613758926095","2021-04-06","1550","21568.0",""
"Iowa","Tennessee","-93.50009011569544","42.07464832674591","-86.34341233023729","35.84298014361061","2021-04-06","404","5621.0",""
"Iowa","Texas","-93.50009011569544","42.07464832674591","-99.3171209695712","31.447212191842507","2021-04-06","798","11104.0",""
"Iowa","Utah","-93.50009011569544","42.07464832674591","-111.67824995489636","39.32376871301901","2021-04-06","116","1614.0",""
"Iowa","Vermont","-93.50009011569544","42.07464832674591","-72.66263037415419","44.07524823317805","2021-04-06","13","180.0",""
"Iowa","Virginia","-93.50009011569544","42.07464832674591","-78.66634949421768","37.510873096830124","2021-04-06","122","1697.0",""
"Iowa","Washington","-93.50009011569544","42.07464832674591","-120.59289987466929","47.41163921872467","2021-04-06","107","1488.0",""
"Iowa","West Virginia","-93.50009011569544","42.07464832674591","-80.61370689717069","38.64256709677395","2021-04-06","37","514.0",""
"Iowa","Wisconsin","-93.50009011569544","42.07464832674591","-89.73293305821664","44.63994410730462","2021-04-06","1548","21540.0",""
"Iowa","Wyoming","-93.50009011569544","42.07464832674591","-107.55139421018254","42.9995374625361","2021-04-06","58","807.0",""
"Iowa","Puerto Rico","-93.50009011569544","42.07464832674591","-66.41466678397286","18.21569833731172","2021-04-06","2","27.0",""